order,family,scientific name,common name,description,region,source
Perciformes,Lutjanidae,Lutjanus synagris (NT) ,,"""highly mangrove-affiliated"" (>70% relative species density)",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Mulloidichthys martinicus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Atlantic East Pacific,zu Ermgassen et al. 2019
Perciformes,Scaridae,Scarus guacamaia (NT),rainbow parrotfish,"""highly mangrove-affiliated"" (>70% relative species density)",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Sparisoma rubripinne ,,"""highly mangrove-affiliated"" (>70% relative species density)",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Stegastes leucostictus,,"""highly mangrove-affiliated"" (>70% relative species density)",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Anadara tuberculosa ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Ucides cordatus ,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Ucides occidentalis,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Atlantic East Pacific,zu Ermgassen et al. 2019
,,Atherinomorus lacunosus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Gerres filamentosus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
Perciformes,Lutjanidae,Lutjanus argentimaculatus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
Perciformes,Lutjanidae,Lutjanus argentiventris ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
Perciformes,Lutjanidae,Lutjanus russellii ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Monodactylus argenteus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Siganus canaliculatus ,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Sillago sihama,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Terapon jarbua,,"""highly mangrove-affiliated"" (>70% relative species density)",Indo West Pacific,zu Ermgassen et al. 2019
,,Cerithidea decollata ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Fenneropenaeus indicus ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Fenneropenaeus merguiensis ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Littoraria intermedia ,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Littoraria pallescens ,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Littorina scabra,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Metaplax elegans ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Neosarmatium meinerti ,,"""highly mangrove-affiliated"" (>70% relative species density); terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Penaeus monodon ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Scylla serrata ,,"""highly mangrove-affiliated"" (>70% relative species density); benthic",Indo West Pacific,zu Ermgassen et al. 2019
,,Terebralia palustris ,,"""highly mangrove-affiliated"" (>70% relative species density): benthic/terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Uca annulipes,,"""highly mangrove-affiliated"" (>70% relative species density): benthic/terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Uca forcipata ,,"""highly mangrove-affiliated"" (>70% relative species density): benthic/terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Uca inversa ,,"""highly mangrove-affiliated"" (>70% relative species density): benthic/terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Uca urvillei,,"""highly mangrove-affiliated"" (>70% relative species density): benthic/terrestrial",Indo West Pacific,zu Ermgassen et al. 2019
,,Chanos chanos ,,"""highly mangrove-affiliated"" (>70% relative species density): pelagic/neritic/benthic",Global,zu Ermgassen et al. 2019
Perciformes,Sphyraenidae,Sphyraena barracuda,great barracuda,"""highly mangrove-affiliated"" (>70% relative species density)",Global,zu Ermgassen et al. 2019
Carcharhiniformes,,Hemigaleus australiensis,Australian weasel shark,foraging,,Sievers et al. 2019: Blaber 1986
Carcharhiniformes,,Carcharhinus melanopterus,blacktip reef shark,occurrence,,Sievers et al. 2019: Chin et al 2013
Carcharhiniformes,,Carcharhinus limbatus,blacktip shark,"foraging, breeding, occurrence",,"Sievers et al. 2019: Foraging - Blaber 1986, Breeding - Heupel and Simpfendorfer 2002, Occurrene - White and Potter 2004"
Carcharhiniformes,,Sphyrna tiburo,bonnethead shark,occurrence,,Sievers et al. 2019: Jennings et al. 2012
Carcharhiniformes,,Carcharhinus leucas,bull shark,"breeding, occurrence",,"Sievers et al. 2019: Breeding - Matich and Heithaus 2014, Occurrence - Yeiser et al 2008 and Jennings et al 2012"
Carcharhiniformes,,Isogomphodon oxyrhynchus,daggernose shark,occurrence,,Sievers et al. 2019: Lessa et al 1999
Carcharhiniformes,,Negaprion brevirostris,lemon shark,"foraging, breeding, occurrence",,"Sievers et al. 2019: Foraging - Newman et al 2010, Breeding - Legarge et al. 2015 and Morgan et al. 2015, Occurrence - Guttridge et al. 2012 and Jennings et al. 2012"
Carcharhiniformes,,Carcharhinus cautus,nervous shark,"foraging, occurrence",,"Sievers et al 2019: Foraging - Blaber 1986, Occurrence - Escalle et al 2015 and White and Potter 2004"
Carcharhiniformes,,Glyphis garricki,Northern river shark,occurrence,,Sievers et al. 2019: Thorburn and MOrgan 2004
Carcharhiniformes,,Negaprion acutidens,sharptooth lemon shark,"occurrence, foraging",,"Sievers et al. 2019: Foraging - Blaber 1986, Occurrence - White and Potter 2004"
Carcharhiniformes,,Hemipristis elongata,snaggletooth shark,foraging,,Sievers et al. 2019: Blaber 1986
Carcharhiniformes,,Glyphis glyphis,speartooth shark,occurrence,,Sievers et al. 2019: Peverell et al. 2006
